City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,274.4,100,75,1.03,CL,1717694499
1,iqaluit,63.7506,-68.5145,276.0,93,75,2.06,CA,1717694362
2,holualoa,19.6228,-155.9522,299.74,86,40,0.0,US,1717694257
3,tiksi,71.6872,128.8694,278.31,78,60,1.18,RU,1717694500
4,howard springs,-12.497,131.047,293.1,63,0,4.12,AU,1717694500
5,grytviken,-54.2811,-36.5092,270.47,79,22,5.05,GS,1717694500
6,manavalakurichi,8.1333,77.3,300.54,84,76,3.55,IN,1717694501
7,tabou,4.423,-7.3528,298.85,90,88,4.09,CI,1717694501
8,waitangi,-43.9535,-176.5597,281.38,71,81,9.14,NZ,1717694502
9,afaahiti,-17.75,-149.2833,299.08,77,81,1.85,PF,1717694502
10,yeed,4.55,43.0333,302.67,50,99,7.07,SO,1717694502
11,invercargill,-46.4,168.35,280.94,99,76,0.45,NZ,1717694503
12,ushuaia,-54.8,-68.3,272.94,74,0,1.54,AR,1717694503
13,hamilton,39.1834,-84.5333,301.28,60,40,4.12,US,1717694503
14,saint-pierre,-21.3393,55.4781,294.97,73,20,7.72,RE,1717694504
15,gadzhiyevo,69.2551,33.3362,287.77,62,94,4.82,RU,1717694504
16,edinburgh of the seven seas,-37.0676,-12.3116,288.59,88,100,15.14,SH,1717694504
17,qaqortoq,60.7167,-46.0333,279.29,93,100,0.98,GL,1717694505
18,st. john's,47.5649,-52.7093,286.81,94,75,6.69,CA,1717694402
19,simpang,-1.2667,104.0833,297.01,97,6,0.48,ID,1717694505
20,tofol,5.3248,163.0078,301.32,77,82,3.41,FM,1717694506
21,avarua,-21.2078,-159.775,295.18,68,20,4.12,CK,1717694506
22,albany,42.6001,-73.9662,300.31,88,100,3.33,US,1717694288
23,yakeshi,49.2833,120.7333,284.38,91,82,8.29,CN,1717694507
24,port-aux-francais,-49.35,70.2167,276.79,78,86,10.36,TF,1717694507
25,amos,48.5669,-78.1162,298.01,41,82,2.64,CA,1717694507
26,flying fish cove,-10.4217,105.6791,298.97,88,100,4.63,CX,1717694508
27,khromtau,50.2503,58.4347,292.28,72,100,8.63,KZ,1717694508
28,georgetown,5.4112,100.3354,300.9,78,40,2.57,MY,1717694508
29,anadyr,64.75,177.4833,273.43,80,75,2.0,RU,1717694509
30,tsiombe,-25.3,45.4833,294.71,80,0,2.1,MG,1717694509
31,olonkinbyen,70.9221,-8.7187,274.94,88,97,2.88,SJ,1717694509
32,port moresby,-9.4431,147.1797,297.83,94,75,2.57,PG,1717694510
33,carnarvon,-24.8667,113.6333,295.08,71,1,3.06,AU,1717694510
34,port lincoln,-34.7333,135.8667,286.3,70,37,1.93,AU,1717694510
35,susuman,62.7833,148.1667,287.03,30,90,1.79,RU,1717694511
36,usinsk,65.9939,57.5281,278.19,82,3,6.71,RU,1717694511
37,satipo,-11.2522,-74.6386,305.03,37,19,1.19,PE,1717694511
38,kencong,-8.2833,113.3667,297.0,92,3,0.79,ID,1717694512
39,bandarbeyla,9.4942,50.8122,299.85,82,29,12.1,SO,1717694512
40,oberwart,47.2897,16.206,297.38,100,98,0.61,AT,1717694512
41,sinabang,2.4803,96.3801,299.49,82,100,2.89,ID,1717694290
42,amanganj,24.4333,80.0333,312.22,17,34,0.81,IN,1717694410
43,riyadh,24.6877,46.7219,312.23,8,3,4.87,SA,1717694400
44,tolanaro,-25.0319,46.9987,297.19,88,0,8.23,MG,1717694514
45,kailua-kona,19.6406,-155.9956,301.81,93,40,0.0,US,1717694261
46,mitu,1.1983,-70.1733,298.81,95,80,1.3,CO,1717694515
47,whitehorse,60.7161,-135.0538,283.6,49,75,8.23,CA,1717694517
48,jamestown,42.097,-79.2353,294.83,66,75,6.69,US,1717694253
49,vanimo,-2.6741,141.3028,299.08,90,100,1.33,PG,1717694519
50,wailua homesteads,22.0669,-159.378,298.63,94,0,3.6,US,1717694520
51,roma,43.2128,-75.4557,299.66,74,100,4.63,US,1717694521
52,mount pearl,47.5166,-52.7813,286.34,93,75,6.69,CA,1717694521
53,trinidad,-14.8333,-64.9,305.14,48,20,3.09,BO,1717694522
54,ilulissat,69.2167,-51.1,276.16,87,75,3.09,GL,1717694523
55,ribeira brava,32.65,-17.0667,295.93,91,100,5.07,PT,1717694523
56,iskateley,67.6803,53.1512,274.83,98,100,4.02,RU,1717694524
57,nishinoomote,30.7333,131.0,295.03,67,98,7.63,JP,1717694525
58,kapuskasing,49.4169,-82.4331,291.2,77,75,2.57,CA,1717694509
59,naze,28.3667,129.4833,294.66,86,89,4.14,JP,1717694526
60,hermanus,-34.4187,19.2345,288.6,80,100,3.97,ZA,1717694527
61,barcelos,41.5388,-8.6151,301.99,64,100,2.62,PT,1717694527
62,atafu village,-8.5421,-172.5159,301.68,72,98,2.46,TK,1717694528
63,christchurch,-43.5333,172.6333,281.45,84,75,1.54,NZ,1717694529
64,hilton head island,32.2163,-80.7526,306.47,64,40,2.57,US,1717694097
65,port mathurin,-19.6833,63.4167,296.93,68,71,11.74,MU,1717694531
66,lompoc,34.6391,-120.4579,298.53,84,40,1.34,US,1717694532
67,yerofey pavlovich,53.9667,121.9667,286.32,95,100,2.48,RU,1717694534
68,badger,64.8,-147.5333,287.04,72,75,1.54,US,1717694538
69,adamstown,-25.066,-130.1015,295.58,75,56,6.44,PN,1717694539
70,olinda,-8.0089,-34.8553,302.0,70,40,7.72,BR,1717694540
71,taroa,8.7058,171.2275,301.16,82,89,7.49,MH,1717694469
72,klyuchi,52.2667,79.1667,292.51,77,58,3.01,RU,1717694542
73,mount gambier,-37.8333,140.7667,281.35,96,34,1.58,AU,1717694542
74,lihue,21.9789,-159.3672,298.96,93,0,3.6,US,1717694543
75,muynoq,43.7683,59.0214,303.93,22,30,3.8,UZ,1717694544
76,bethel,41.3712,-73.414,300.01,79,75,2.06,US,1717694339
77,kirensk,57.7853,108.1119,282.57,48,99,1.34,RU,1717694545
78,blackmans bay,-43.0167,147.3167,283.0,88,88,1.14,AU,1717694546
79,bilibino,68.0546,166.4372,270.82,67,17,3.3,RU,1717694546
80,papatowai,-46.5619,169.4708,283.64,81,95,1.77,NZ,1717694548
81,urangan,-25.3,152.9,285.48,78,0,2.24,AU,1717694548
82,galliano,29.4422,-90.2992,300.15,88,75,0.0,US,1717694549
83,pailon,-17.65,-62.75,303.65,26,1,6.25,BO,1717694550
84,chilapa de alvarez,17.6,-99.1667,305.24,22,72,1.18,MX,1717694551
85,saint-philippe,-21.3585,55.7679,294.92,82,49,5.96,RE,1717694552
86,choibalsan,48.0667,114.5,285.63,44,29,3.79,MN,1717694553
87,mount isa,-20.7333,139.5,282.02,71,0,3.09,AU,1717694553
88,koryazhma,61.3143,47.1691,291.99,80,100,1.66,RU,1717694554
89,sisteron,44.1876,5.9462,298.49,61,85,1.95,FR,1717694555
